Tue Jun 20 13:19:33 2023    output.prof

         5276138 function calls (5274851 primitive calls) in 16.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2307(any)
        6    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:1872(__init__)
       18    0.001    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/ufunclike.py:199(isneginf)
       48    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(zeros_like)
       60    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:1200(quantity_iter)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      115    0.001    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:188(__format__)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        9    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:942(realize_frame)
        9    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:844(_replicate)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:916(get_code)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(cross)
        1    0.001    0.001    0.001    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/numeric.py:1485(cross)
      221    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       30    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:1010(__getattr__)
       72    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:32(seterr)
       17    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(broadcast_arrays)
       20    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/converters.py:133(converters_and_unit)
       16    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:1019(get_virtual_unit_attribute)
        2    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:429(_read_gzip_header)
       48    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/numeric.py:76(zeros_like)
      118    0.001    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:104(acquire)
       60    0.001    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/matrix_utilities.py:41(rotation_matrix)
       46    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/attributes.py:149(convert_input)
       42    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:808(representation_info)
        8    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/function_helpers.py:367(concatenate)
       31    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:1886(__setattr__)
        8    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/function_helpers.py:351(_iterable_helper)
      808    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       42    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:762(_get_representation_info)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      118    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:108(release)
       83    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       25    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:73(_get_repr_classes)
       45    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:367(_infer_representation)
        8    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/function_helpers.py:313(_quantities2arrays)
       11    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/dataset.py:614(__init__)
       17    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:480(broadcast_arrays)
       10    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:1479(physical_type)
       24    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/matrix_utilities.py:14(matrix_product)
       36    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:429(__enter__)
      200    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:748(_set_unit)
    27/25    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate.py:861(__setattr__)
       36    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:434(__exit__)
       20    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:650(<genexpr>)
      345    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      247    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:113(frame_attributes)
       42    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/numeric.py:1347(normalize_axis_tuple)
       89    0.000    0.000    0.001    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:815(to)
       53    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:749(_normalize_equivalencies)
       24    0.001    0.000    0.001    0.000 {built-in method _functools.reduce}
        2    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      110    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:433(lookup_name)
        1    0.000    0.000    0.001    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/builtin_frames/icrs_fk5_transforms.py:36(icrs_to_fk5)
        1    0.000    0.000    0.001    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/_monitor.py:30(__init__)
      168    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:1971(__call__)
       55    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:1047(<lambda>)
      573    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
      115    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:155(__init__)
       18    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/type_check.py:394(_getmaxmin)
      470    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
      540    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate.py:352(frame)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
      466    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:700(get_representation_cls)
    91/90    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:1923(__quantity_subclass__)
       76    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:2168(decompose)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/shape_base.py:432(<listcomp>)
      131    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:2348(decompose)
      149    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:1878(decompose)
      451    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      114    0.000    0.000    0.000    0.000 {built-in method now}
       24    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:1206(__getitem__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:186(__init__)
        7    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate_parsers.py:567(_get_representation_attrs)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:880(start)
       10    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/physical.py:489(get_physical_type)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate_parsers.py:32(_get_frame_class)
      408    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      341    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:916(unit)
      137    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      234    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       72    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:131(geterr)
       32    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/function_helpers.py:344(<genexpr>)
      126    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:674(<listcomp>)
       11    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(all)
       48    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
       72    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:2535(_condition_arg)
       19    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:675(shape)
       10    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/physical.py:340(__eq__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1207(_close_pipe_fds)
      312    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2922(_prod_dispatcher)
      221    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
       10    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/helpers.py:204(helper_multiplication)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:114(_make_name)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:99(frame_set)
       86    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:628(getter)
       24    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:1525(_to_own_unit)
      285    0.000    0.000    0.000    0.000 {function Quantity.__array_finalize__ at 0x7f1967bb08b0}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:563(wait)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
       26    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:38(_get_repr_cls)
      121    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:85(_cached_names)
       25    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:408(shape)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/util.py:10(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       24    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/tempfile.py:149(__next__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:280(wait)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:451(get_names)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:796(_to_value)
       16    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/time/core.py:1325(__getattr__)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2406(all)
       11    0.000    0.000    0.000    0.000 {built-in method h5py.h5t.py_create}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       15    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/utils/shapes.py:213(__bool__)
      158    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       17    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:2565(unit_scale_converter)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:25(open)
      117    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      118    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      192    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:1432(__init__)
       10    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:818(__mul__)
       17    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:416(_broadcast_shape)
       10    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/physical.py:181(_standardize_physical_type_names)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/files.py:115(make_fapl)
       15    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/utils/shapes.py:195(size)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       23    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:261(get_name)
       10    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/physical.py:153(_replace_temperatures_with_kelvin)
       20    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/converters.py:171(<listcomp>)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity_helper/function_helpers.py:290(_as_quantity)
      144    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
      119    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      115    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:57(__init__)
       42    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/numeric.py:1397(<listcomp>)
      115    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:61(__format__)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/filters.py:293(get_filters)
       16    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/time/core.py:734(to_value)
      144    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:1094(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      149    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:721(powers)
      149    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:714(bases)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/base.py:73(guess_dtype)
      108    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      115    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:169(colour)
      171    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       72    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:133(__init__)
      108    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       56    0.000    0.000    0.000    0.000 {built-in method _heapq.heapify}
      124    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       32    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/time/core.py:640(shape)
      131    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:2287(bases)
      119    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      118    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       17    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:538(<listcomp>)
       40    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/inspect.py:73(isclass)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       36    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/ufunclike.py:22(func)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/tempfile.py:138(rng)
      115    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:165(colour)
       10    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:2367(is_unity)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
      121    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:2294(powers)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       53    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:65(_normalize_equivalencies)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:583(_decr_instances)
      107    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/getlimits.py:458(__new__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1184(wait)
       16    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/time/core.py:1314(cache)
       53    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:229(equivalencies)
       83    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      102    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/multiarray.py:1071(copyto)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:802(__init__)
       49    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:326(components)
       87    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:754(differentials)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/tempfile.py:152(<listcomp>)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:41(frame_attrs_from_set)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1885(_wait)
       81    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:1780(name)
       66    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       72    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:707(scale)
       66    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:542(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/random.py:117(__init__)
       88    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:786(__init__)
       11    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/base.py:177(_e)
       69    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:341(get_current_unit_registry)
       88    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_collections_abc.py:315(__subclasshook__)
        8    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/random.py:343(choice)
       82    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:2280(scale)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/contextlib.py:452(callback)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       72    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       65    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:656(data)
       64    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/random.py:126(seed)
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:1442(_combine_statics)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        3    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_weakrefset.py:63(__iter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(dot)
       15    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:1193(__iter__)
       36    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:425(__init__)
       60    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
