Tue Jun 20 13:19:33 2023    output.prof

         5276138 function calls (5274851 primitive calls) in 16.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      115    0.001    0.000    0.070    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:348(print_status)
      115    0.000    0.000    0.067    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:341(disp_trim)
        2    0.000    0.000    0.056    0.028 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:127(from_axes)
     4387    0.015    0.000    0.047    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:513(_add_read_data)
    44023    0.037    0.000    0.037    0.000 {built-in method unicodedata.east_asian_width}
       17    0.000    0.000    0.034    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:671(__init__)
       17    0.001    0.000    0.033    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:182(__init__)
       17    0.000    0.000    0.031    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:230(<listcomp>)
       18    0.000    0.000    0.031    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:664(__new__)
       18    0.000    0.000    0.029    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:686(wrap_angle)
       18    0.020    0.001    0.029    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:371(_wrap_at)
     4389    0.028    0.000    0.028    0.000 {built-in method zlib.crc32}
  743/342    0.003    0.000    0.027    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       10    0.000    0.000    0.026    0.003 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1929(__init__)
    27527    0.024    0.000    0.024    0.000 {built-in method builtins.len}
     4434    0.016    0.000    0.024    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:85(read)
    14577    0.024    0.000    0.024    0.000 {built-in method time.time}
     4388    0.011    0.000    0.020    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/codecs.py:319(decode)
        9    0.000    0.000    0.019    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:1095(_apply_transform)
        1    0.000    0.000    0.017    0.017 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/files.py:567(__exit__)
        1    0.017    0.017    0.017    0.017 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/files.py:542(close)
        1    0.000    0.000    0.017    0.017 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:756(__init__)
       45    0.001    0.000    0.017    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:394(_infer_data)
        1    0.000    0.000    0.017    0.017 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1661(_execute_child)
        1    0.000    0.000    0.015    0.015 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/funcs.py:30(cartesian_to_spherical)
     4387    0.011    0.000    0.015    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:98(prepend)
       11    0.000    0.000    0.014    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/group.py:69(create_dataset)
       11    0.005    0.000    0.013    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/dataset.py:36(make_new_dset)
        5    0.000    0.000    0.012    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:697(__array_ufunc__)
     4389    0.008    0.000    0.012    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_compression.py:12(_check_not_closed)
      116    0.001    0.000    0.012    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:408(__new__)
        1    0.000    0.000    0.011    0.011 /zfs/astrohe/ckarwin/COSI/COSIpy_Development/cosipy/cosipy/data_io/UnBinnedData.py:297(construct_scy)
        9    0.000    0.000    0.010    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1365(transform)
  168/149    0.001    0.000    0.010    0.000 /zfs/astrohe/Software/COSIMain_u2/MEGAlib/external/root_v6.24.08/lib/ROOT/_facade.py:144(_importhook)
       20    0.000    0.000    0.009    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1267(__init__)
       21    0.000    0.000    0.009    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:965(represent_as)
  169/149    0.001    0.000    0.009    0.000 {built-in method builtins.__import__}
        1    0.000    0.000    0.009    0.009 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:560(__new__)
     4388    0.009    0.000    0.009    0.000 {built-in method _codecs.utf_8_decode}
        1    0.009    0.009    0.009    0.009 {built-in method posix.read}
        1    0.000    0.000    0.008    0.008 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:657(get_lock)
        1    0.000    0.000    0.008    0.008 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:92(__init__)
     8776    0.008    0.000    0.008    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.000    0.000    0.008    0.008 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:118(create_mp_lock)
        3    0.000    0.000    0.008    0.003 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:2010(to_cartesian)
        1    0.000    0.000    0.008    0.008 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/context.py:70(RLock)
    51/43    0.000    0.000    0.008    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:1654(__array_function__)
    51/43    0.004    0.000    0.008    0.000 {function Quantity.__array_function__ at 0x7f1967bb3430}
      3/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:1002(_find_and_load)
      3/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
        2    0.007    0.004    0.008    0.004 /zfs/astrohe/ckarwin/COSI/COSIpy_Development/cosipy/cosipy/data_io/UnBinnedData.py:313(polar2cart)
        1    0.007    0.007    0.007    0.007 {built-in method _posixsubprocess.fork_exec}
  147/145    0.001    0.000    0.007    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:1594(__getattr__)
       18    0.000    0.000    0.007    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:558(__new__)
     4388    0.007    0.000    0.007    0.000 {method 'cast' of 'memoryview' objects}
       22    0.000    0.000    0.006    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1330(get_xyz)
        2    0.000    0.000    0.006    0.003 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:87(from_matrix)
        2    0.006    0.003    0.006    0.003 {built-in method from_matrix}
      3/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:659(_load_unlocked)
        8    0.000    0.000    0.006    0.001 <__array_function__ internals>:177(stack)
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap_external>:844(exec_module)
        8    0.000    0.000    0.006    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/shape_base.py:357(stack)
       11    0.000    0.000    0.006    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/filters.py:146(fill_dcpl)
       18    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(nan_to_num)
      5/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.006    0.006 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:10(<module>)
